Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,cmp1-bleaf1a,Ethernet1,mlag_peer,cmp1-bleaf1b,Ethernet1,True
l3leaf,cmp1-bleaf1a,Ethernet2,mlag_peer,cmp1-bleaf1b,Ethernet2,True
l3leaf,cmp1-bleaf1a,Ethernet3,spine,cmp1-spine1,Ethernet1,True
l3leaf,cmp1-bleaf1a,Ethernet4,spine,cmp1-spine2,Ethernet1,True
l3leaf,cmp1-bleaf1a,Ethernet5,l3leaf,dc1-bleaf1a,Ethernet5,True
l3leaf,cmp1-bleaf1a,Ethernet6,l3leaf,dc1-bleaf1b,Ethernet5,True
l3leaf,cmp1-bleaf1b,Ethernet1,mlag_peer,cmp1-bleaf1a,Ethernet1,True
l3leaf,cmp1-bleaf1b,Ethernet2,mlag_peer,cmp1-bleaf1a,Ethernet2,True
l3leaf,cmp1-bleaf1b,Ethernet3,spine,cmp1-spine1,Ethernet2,True
l3leaf,cmp1-bleaf1b,Ethernet4,spine,cmp1-spine2,Ethernet2,True
l3leaf,cmp1-bleaf1b,Ethernet5,l3leaf,dc1-bleaf1a,Ethernet6,True
l3leaf,cmp1-bleaf1b,Ethernet6,l3leaf,dc1-bleaf1b,Ethernet6,True
l2leaf,cmp1-l2leaf1a,Ethernet1,mlag_peer,cmp1-l2leaf1b,Ethernet1,True
l2leaf,cmp1-l2leaf1a,Ethernet2,mlag_peer,cmp1-l2leaf1b,Ethernet2,True
l2leaf,cmp1-l2leaf1a,Ethernet3,l3leaf,cmp1-leaf1a,Ethernet5,True
l2leaf,cmp1-l2leaf1a,Ethernet4,l3leaf,cmp1-leaf1b,Ethernet5,True
l2leaf,cmp1-l2leaf1b,Ethernet1,mlag_peer,cmp1-l2leaf1a,Ethernet1,True
l2leaf,cmp1-l2leaf1b,Ethernet2,mlag_peer,cmp1-l2leaf1a,Ethernet2,True
l2leaf,cmp1-l2leaf1b,Ethernet3,l3leaf,cmp1-leaf1a,Ethernet6,True
l2leaf,cmp1-l2leaf1b,Ethernet4,l3leaf,cmp1-leaf1b,Ethernet6,True
l3leaf,cmp1-leaf1a,Ethernet1,mlag_peer,cmp1-leaf1b,Ethernet1,True
l3leaf,cmp1-leaf1a,Ethernet2,mlag_peer,cmp1-leaf1b,Ethernet2,True
l3leaf,cmp1-leaf1a,Ethernet3,spine,cmp1-spine1,Ethernet3,True
l3leaf,cmp1-leaf1a,Ethernet4,spine,cmp1-spine2,Ethernet3,True
l3leaf,cmp1-leaf1a,Ethernet5,l2leaf,cmp1-l2leaf1a,Ethernet3,True
l3leaf,cmp1-leaf1a,Ethernet6,l2leaf,cmp1-l2leaf1b,Ethernet3,True
l3leaf,cmp1-leaf1b,Ethernet1,mlag_peer,cmp1-leaf1a,Ethernet1,True
l3leaf,cmp1-leaf1b,Ethernet2,mlag_peer,cmp1-leaf1a,Ethernet2,True
l3leaf,cmp1-leaf1b,Ethernet3,spine,cmp1-spine1,Ethernet4,True
l3leaf,cmp1-leaf1b,Ethernet4,spine,cmp1-spine2,Ethernet4,True
l3leaf,cmp1-leaf1b,Ethernet5,l2leaf,cmp1-l2leaf1a,Ethernet4,True
l3leaf,cmp1-leaf1b,Ethernet6,l2leaf,cmp1-l2leaf1b,Ethernet4,True
l3leaf,cmp1-leaf2a,Ethernet1,mlag_peer,cmp1-leaf2b,Ethernet1,True
l3leaf,cmp1-leaf2a,Ethernet2,mlag_peer,cmp1-leaf2b,Ethernet2,True
l3leaf,cmp1-leaf2a,Ethernet3,spine,cmp1-spine1,Ethernet5,True
l3leaf,cmp1-leaf2a,Ethernet4,spine,cmp1-spine2,Ethernet5,True
l3leaf,cmp1-leaf2b,Ethernet1,mlag_peer,cmp1-leaf2a,Ethernet1,True
l3leaf,cmp1-leaf2b,Ethernet2,mlag_peer,cmp1-leaf2a,Ethernet2,True
l3leaf,cmp1-leaf2b,Ethernet3,spine,cmp1-spine1,Ethernet6,True
l3leaf,cmp1-leaf2b,Ethernet4,spine,cmp1-spine2,Ethernet6,True
spine,cmp1-spine1,Ethernet1,l3leaf,cmp1-bleaf1a,Ethernet3,True
spine,cmp1-spine1,Ethernet2,l3leaf,cmp1-bleaf1b,Ethernet3,True
spine,cmp1-spine1,Ethernet3,l3leaf,cmp1-leaf1a,Ethernet3,True
spine,cmp1-spine1,Ethernet4,l3leaf,cmp1-leaf1b,Ethernet3,True
spine,cmp1-spine1,Ethernet5,l3leaf,cmp1-leaf2a,Ethernet3,True
spine,cmp1-spine1,Ethernet6,l3leaf,cmp1-leaf2b,Ethernet3,True
spine,cmp1-spine2,Ethernet1,l3leaf,cmp1-bleaf1a,Ethernet4,True
spine,cmp1-spine2,Ethernet2,l3leaf,cmp1-bleaf1b,Ethernet4,True
spine,cmp1-spine2,Ethernet3,l3leaf,cmp1-leaf1a,Ethernet4,True
spine,cmp1-spine2,Ethernet4,l3leaf,cmp1-leaf1b,Ethernet4,True
spine,cmp1-spine2,Ethernet5,l3leaf,cmp1-leaf2a,Ethernet4,True
spine,cmp1-spine2,Ethernet6,l3leaf,cmp1-leaf2b,Ethernet4,True
l3leaf,dc1-bleaf1a,Ethernet1,mlag_peer,dc1-bleaf1b,Ethernet1,True
l3leaf,dc1-bleaf1a,Ethernet2,mlag_peer,dc1-bleaf1b,Ethernet2,True
l3leaf,dc1-bleaf1a,Ethernet3,spine,dc1-spine1,Ethernet1,True
l3leaf,dc1-bleaf1a,Ethernet4,spine,dc1-spine2,Ethernet1,True
l3leaf,dc1-bleaf1a,Ethernet5,l3leaf,cmp1-bleaf1a,Ethernet5,True
l3leaf,dc1-bleaf1a,Ethernet6,l3leaf,cmp1-bleaf1b,Ethernet5,True
l3leaf,dc1-bleaf1b,Ethernet1,mlag_peer,dc1-bleaf1a,Ethernet1,True
l3leaf,dc1-bleaf1b,Ethernet2,mlag_peer,dc1-bleaf1a,Ethernet2,True
l3leaf,dc1-bleaf1b,Ethernet3,spine,dc1-spine1,Ethernet2,True
l3leaf,dc1-bleaf1b,Ethernet4,spine,dc1-spine2,Ethernet2,True
l3leaf,dc1-bleaf1b,Ethernet5,l3leaf,cmp1-bleaf1a,Ethernet6,True
l3leaf,dc1-bleaf1b,Ethernet6,l3leaf,cmp1-bleaf1b,Ethernet6,True
l3leaf,dc1-cleaf1a,Ethernet1,mlag_peer,dc1-cleaf1b,Ethernet1,True
l3leaf,dc1-cleaf1a,Ethernet2,mlag_peer,dc1-cleaf1b,Ethernet2,True
l3leaf,dc1-cleaf1a,Ethernet3,spine,dc1-spine1,Ethernet3,True
l3leaf,dc1-cleaf1a,Ethernet4,spine,dc1-spine2,Ethernet3,True
l3leaf,dc1-cleaf1b,Ethernet1,mlag_peer,dc1-cleaf1a,Ethernet1,True
l3leaf,dc1-cleaf1b,Ethernet2,mlag_peer,dc1-cleaf1a,Ethernet2,True
l3leaf,dc1-cleaf1b,Ethernet3,spine,dc1-spine1,Ethernet4,True
l3leaf,dc1-cleaf1b,Ethernet4,spine,dc1-spine2,Ethernet4,True
l3leaf,dc1-cleaf2a,Ethernet1,mlag_peer,dc1-cleaf2b,Ethernet1,True
l3leaf,dc1-cleaf2a,Ethernet2,mlag_peer,dc1-cleaf2b,Ethernet2,True
l3leaf,dc1-cleaf2a,Ethernet3,spine,dc1-spine1,Ethernet5,True
l3leaf,dc1-cleaf2a,Ethernet4,spine,dc1-spine2,Ethernet5,True
l3leaf,dc1-cleaf2b,Ethernet1,mlag_peer,dc1-cleaf2a,Ethernet1,True
l3leaf,dc1-cleaf2b,Ethernet2,mlag_peer,dc1-cleaf2a,Ethernet2,True
l3leaf,dc1-cleaf2b,Ethernet3,spine,dc1-spine1,Ethernet6,True
l3leaf,dc1-cleaf2b,Ethernet4,spine,dc1-spine2,Ethernet6,True
spine,dc1-spine1,Ethernet1,l3leaf,dc1-bleaf1a,Ethernet3,True
spine,dc1-spine1,Ethernet2,l3leaf,dc1-bleaf1b,Ethernet3,True
spine,dc1-spine1,Ethernet3,l3leaf,dc1-cleaf1a,Ethernet3,True
spine,dc1-spine1,Ethernet4,l3leaf,dc1-cleaf1b,Ethernet3,True
spine,dc1-spine1,Ethernet5,l3leaf,dc1-cleaf2a,Ethernet3,True
spine,dc1-spine1,Ethernet6,l3leaf,dc1-cleaf2b,Ethernet3,True
spine,dc1-spine2,Ethernet1,l3leaf,dc1-bleaf1a,Ethernet4,True
spine,dc1-spine2,Ethernet2,l3leaf,dc1-bleaf1b,Ethernet4,True
spine,dc1-spine2,Ethernet3,l3leaf,dc1-cleaf1a,Ethernet4,True
spine,dc1-spine2,Ethernet4,l3leaf,dc1-cleaf1b,Ethernet4,True
spine,dc1-spine2,Ethernet5,l3leaf,dc1-cleaf2a,Ethernet4,True
spine,dc1-spine2,Ethernet6,l3leaf,dc1-cleaf2b,Ethernet4,True
